X,Y,Z
650,471,779
650,516,894
650,673,977
650,755,1010
650,859,876
604,701,1013.5
486.5,665.5,945
448.5,725,824
436.5,797.5,834
419,816.5,933.5
457,849,980.5
516,904,984.5
456.5,771.5,1012
547.5,836,1027
543.5,769.5,1039.5
380,960.5,814.5
369,892,905.5
412.5,953,621.5
428.5,1090.5,778.5
608.5,927,915.5
501.5,720.5,607
650,882,309
696,701,1013.5
813.5,665.5,945
851.5,725,824
863.5,797.5,834
881,816.5,933.5
843,849,980.5
784,904,984.5
843.5,771.5,1012
752.5,836,1027
756.5,769.5,1039.5
920,960.5,814.5
931,892,905.5
887.5,953,621.5
871.5,1090.5,778.5
691.5,927,915.5
798.5,720.5,607
